param,stats,value
mu0M_global,mean,2.2428029042766187
mu0M_global,lower95,2.0781294855047276
mu0M_global,upper95,2.40349628542358
mu0C_global,mean,2.469975511598653
mu0C_global,lower95,2.376829814213352
mu0C_global,upper95,2.567110608156919
sigma_mu0M,mean,0.1986299879133262
sigma_mu0M,lower95,0.13118944652514372
sigma_mu0M,upper95,0.2914351414264037
sigma_mu0C,mean,0.1085224796688792
sigma_mu0C,lower95,0.062340388846038694
sigma_mu0C,upper95,0.18813612943849092
mu0M_site,mean,2.5366003977321383
mu0M_site,mean,2.003665128489732
mu0M_site,mean,2.2846212289963064
mu0M_site,mean,2.4133745964023805
mu0M_site,mean,2.3081750349708656
mu0M_site,mean,1.929895003906553
mu0M_site,lower95,2.509061174076954
mu0M_site,lower95,1.9826343748840052
mu0M_site,lower95,2.261454354665902
mu0M_site,lower95,2.389109580771909
mu0M_site,lower95,2.2860216858445868
mu0M_site,lower95,1.894972990595195
mu0M_site,upper95,2.564051208349542
mu0M_site,upper95,2.025343349280847
mu0M_site,upper95,2.30756392061732
mu0M_site,upper95,2.437482286332558
mu0M_site,upper95,2.33063364389583
mu0M_site,upper95,1.9633033976315786
mu0C_site,mean,2.6127988245566622
mu0C_site,mean,2.3198603386268712
mu0C_site,mean,2.4563945595076246
mu0C_site,mean,2.52506825072029
mu0C_site,mean,2.4882828253802365
mu0C_site,mean,2.419360621621555
mu0C_site,lower95,2.5950325858617322
mu0C_site,lower95,2.308449873433943
mu0C_site,lower95,2.4429448109708916
mu0C_site,lower95,2.5103380071021055
mu0C_site,lower95,2.4748740418376602
mu0C_site,lower95,2.3989429581323334
mu0C_site,upper95,2.6301947477729324
mu0C_site,upper95,2.331355633557474
mu0C_site,upper95,2.4699311151573866
mu0C_site,upper95,2.539752161473935
mu0C_site,upper95,2.501717899583738
mu0C_site,upper95,2.439435057132171
alphaM_Iquitos,mean,0.01077731532380714
alphaM_Iquitos,lower95,0.009277563634075807
alphaM_Iquitos,upper95,0.012380255170096196
alphaM_Maroni,mean,0.007274719357728026
alphaM_Maroni,lower95,0.006222926990064657
alphaM_Maroni,upper95,0.008414319020257743
alphaC_Dielmo,mean,0.017245724072156014
alphaC_Dielmo,lower95,0.014633466007032166
alphaC_Dielmo,upper95,0.020069034317270893
alphaC_Iquitos,mean,0.013397932998994316
alphaC_Iquitos,lower95,0.005387271551893183
alphaC_Iquitos,upper95,0.02395563844821977
alphaC_Maroni,mean,0.156760647778486
alphaC_Maroni,lower95,0.12635695672749137
alphaC_Maroni,upper95,0.1904305894956856
alphaC_Ndiop,mean,0.019609710810107598
alphaC_Ndiop,lower95,0.016909555302673886
alphaC_Ndiop,upper95,0.022489400630734242
alphaC_NC,mean,0.021426568363733533
alphaC_NC,lower95,0.010549650525337627
alphaC_NC,upper95,0.035823401182252364
muM,mean,1.2783779113492104
muM,lower95,1.2443982034753167
muM,upper95,1.3121879512201229
muC,mean,0.7025704101670787
muC,lower95,0.6849317241327515
muC,upper95,0.7202975265543065
muMXC,mean,0.22658060235398425
muMXC,lower95,0.2170193427350246
muMXC,upper95,0.2363478243033679
muCXM,mean,0.0694964228578534
muCXM,lower95,0.06307207153001068
muCXM,upper95,0.07596379268612773
epsC,mean,0.1618424178497582
epsC,lower95,0.1579587739274685
epsC,upper95,0.16586892827312916
epsM,mean,0.27829994327202423
epsM,lower95,0.27192008791274314
epsM,upper95,0.2849846297060965
